date,value
2022-04-19,60.975610
2022-04-20,64.837398
2022-04-21,57.723577
2022-04-22,43.495935
2022-04-25,43.292683
2022-04-26,34.349593
2022-04-27,35.569106
2022-04-28,42.886179
2022-04-29,27.439024
2022-05-02,24.796748
2022-05-03,28.658537
2022-05-04,48.780488
2022-05-05,28.658537
2022-05-06,26.829268
2022-05-09,19.105691
2022-05-10,16.463415
2022-05-11,14.024390
2022-05-12,14.837398
2022-05-13,19.715447
2022-05-16,20.934959
2022-05-17,30.691057
2022-05-18,15.040650
2022-05-19,12.804878
2022-05-20,12.398374
2022-05-23,17.682927
2022-05-24,20.528455
2022-05-25,23.170732
2022-05-26,31.097561
2022-05-27,46.341463
2022-05-31,40.243902
2022-06-01,33.130081
2022-06-02,45.528455
2022-06-03,38.414634
2022-06-06,42.073171
2022-06-07,50.203252
2022-06-08,38.008130
2022-06-09,23.983740
2022-06-10,12.398374
2022-06-13,4.471545
2022-06-14,4.471545
2022-06-15,6.300813
2022-06-16,2.032520
2022-06-17,2.235772
2022-06-21,5.284553
2022-06-22,5.894309
2022-06-23,10.772358
2022-06-24,22.357724
2022-06-27,22.154472
2022-06-28,15.447154
2022-06-29,15.447154
2022-06-30,15.243902
2022-07-01,25.813008
2022-07-05,23.577236
2022-07-06,27.032520
2022-07-07,30.691057
2022-07-08,29.878049
2022-07-11,27.642276
2022-07-12,22.967480
2022-07-13,20.121951
2022-07-14,20.121951
2022-07-15,29.471545
2022-07-18,23.577236
2022-07-19,47.764228
2022-07-20,53.658537
2022-07-21,61.585366
2022-07-22,58.943089
2022-07-25,62.601626
2022-07-26,56.504065
2022-07-27,70.325203
2022-07-28,78.252033
2022-07-29,80.487805
2022-08-01,80.284553
2022-08-02,76.626016
2022-08-03,79.065041
2022-08-04,76.829268
2022-08-05,76.219512
2022-08-08,78.455285
2022-08-09,77.845528
2022-08-10,87.195122
2022-08-11,89.024390
2022-08-12,93.292683
2022-08-15,92.479675
2022-08-16,93.699187
2022-08-17,92.886179
2022-08-18,93.089431
2022-08-19,90.853659
2022-08-22,83.739837
2022-08-23,82.113821
2022-08-24,83.536585
2022-08-25,86.788618
2022-08-26,68.902439
2022-08-29,62.804878
2022-08-30,54.268293
2022-08-31,46.951220
2022-09-01,47.560976
2022-09-02,39.024390
2022-09-06,38.008130
2022-09-07,52.642276
2022-09-08,58.943089
2022-09-09,68.495935
2022-09-12,75.000000
2022-09-13,42.276423
2022-09-14,41.260163
2022-09-15,35.772358
2022-09-16,28.658537
2022-09-19,33.739837
2022-09-20,26.016260
2022-09-21,17.682927
2022-09-22,12.195122
2022-09-23,4.878049
2022-09-26,3.455285
2022-09-27,3.455285
2022-09-28,8.536585
2022-09-29,6.504065
2022-09-30,4.268293
2022-10-03,9.146341
2022-10-04,22.357724
2022-10-05,23.373984
2022-10-06,19.105691
2022-10-07,11.382114
2022-10-10,12.804878
2022-10-11,12.601626
2022-10-12,10.772358
2022-10-13,18.292683
2022-10-14,10.569106
2022-10-17,18.699187
2022-10-18,25.406504
2022-10-19,21.138211
2022-10-20,18.089431
2022-10-21,30.284553
2022-10-24,36.382114
2022-10-25,48.780488
2022-10-26,52.235772
2022-10-27,54.065041
2022-10-28,66.666667
2022-10-31,64.634146
2022-11-01,65.447154
2022-11-02,52.845528
2022-11-03,52.642276
2022-11-04,60.975610
2022-11-07,65.447154
2022-11-08,68.495935
2022-11-09,62.195122
2022-11-10,83.130081
2022-11-11,82.520325
2022-11-14,80.081301
2022-11-15,83.333333
2022-11-16,82.520325
2022-11-17,80.284553
2022-11-18,83.943089
2022-11-21,84.552846
2022-11-22,87.804878
